X,Y,Z
-1.557106284353912962e+00,1.893464693838192714e+00,1.370739519714740311e+02
-1.192701607011227516e+00,1.531418748093711590e+00,1.369415597851345581e+02
-8.792019599683967845e-01,1.219918745871551913e+00,1.368103193460844409e+02
-7.026496337290843996e-01,1.044399098114189295e+00,1.366816306917042141e+02
-5.603677265571810340e-01,9.029079815963364508e-01,1.365536339048323669e+02
-4.439369651035567910e-01,7.870855388998844182e-01,1.364261536957803287e+02
-3.387567382972233032e-01,6.824342717708518080e-01,1.362989296681870712e+02
-2.285243394781228954e-01,5.727666512014569777e-01,1.361716970080147462e+02
-1.308564716920292137e-01,4.755748944007222034e-01,1.360447272907623244e+02
-1.586599249526339864e-02,3.611830633944252966e-01,1.359175664529714140e+02
9.423348228183839326e-02,2.516477973969203918e-01,1.357905526139033725e+02
2.256037708950583975e-01,1.209922018767209950e-01,1.356633147596550941e+02
3.745447192581132789e-01,-2.710968627913749873e-02,1.355359271608192842e+02
4.814990069812106199e-01,-1.335215892422582928e-01,1.354091968460239741e+02
5.919762960529796336e-01,-2.434314625815197919e-01,1.352824920575820329e+02
7.594950168956320358e-01,-4.099792807738752987e-01,1.351551494526938200e+02
8.943797996849806031e-01,-5.441237505783352857e-01,1.350283176927904378e+02
9.960418639511775529e-01,-6.452803185961492050e-01,1.349019668510300107e+02
1.088002331188868022e+00,-7.368037979491862677e-01,1.347757928484365095e+02
1.202910340248604992e+00,-8.511123880983390011e-01,1.346494266377204383e+02
1.342520837289453706e+00,-9.899485757347994408e-01,1.345228753963708641e+02
1.443716252191465710e+00,-1.090641313935006407e+00,1.343968119101471075e+02
1.509354608197810643e+00,-1.156028476425053686e+00,1.342711649911832978e+02
1.635278169808090043e+00,-1.281274169004115171e+00,1.341449867237622584e+02
1.772830626313977920e+00,-1.418066312444607568e+00,1.340187875450916977e+02
1.874628422570103981e+00,-1.519356699186414916e+00,1.338929938858876767e+02
1.980677995078027109e+00,-1.624868652397337909e+00,1.337672315343328933e+02
2.146517167442460128e+00,-1.789746832707500568e+00,1.336410623354364589e+02
2.256840368193706592e+00,-1.899501881330092790e+00,1.335154298017007477e+02
2.380270375176356978e+00,-2.022270810899369664e+00,1.333897757349120070e+02
2.479972561586736290e+00,-2.121479794254970130e+00,1.332643671657847904e+02
2.574193368304800167e+00,-2.215246103621544727e+00,1.331390593090115999e+02
2.686182717431232714e+00,-2.326655010111632116e+00,1.330137040847793912e+02
2.854007410196940153e+00,-2.493503658330054940e+00,1.328881033935007281e+02
2.990370981386809124e+00,-2.629113842173766535e+00,1.327627873395714744e+02
3.077641086131529757e+00,-2.715978187664242594e+00,1.326378082097438096e+02
3.184555708143575803e+00,-2.822347777677221892e+00,1.325127945038204302e+02
3.333234124625866102e+00,-2.970185127108500467e+00,1.323876746887500246e+02
3.449740896327020412e+00,-3.086078628841382621e+00,1.322627806681403513e+02
3.578768398576245069e+00,-3.214403997716908989e+00,1.321379207713372637e+02
3.675826872625535202e+00,-3.310986765745597360e+00,1.320132471856525171e+02
3.771759895766968018e+00,-3.406451952335037170e+00,1.318886398145667158e+02
3.848713381046660054e+00,-3.483072033600682182e+00,1.317641395502074317e+02
3.997585674510636622e+00,-3.631100989708083926e+00,1.316395444663698413e+02
4.106779634691394953e+00,-3.739732754249009083e+00,1.315151152118310165e+02
4.197390585602284396e+00,-3.829913149961952090e+00,1.313907811396384204e+02
4.284607998295976827e+00,-3.916723972177803326e+00,1.312665083015677681e+02
4.394032982217824568e+00,-4.025584778671974284e+00,1.311422802265083760e+02
4.504628141629686056e+00,-4.135607337900416347e+00,1.310181243121276964e+02
4.617783781398546950e+00,-4.248172090959561054e+00,1.308940422121860934e+02
4.706251294904865823e+00,-4.336223720352584188e+00,1.307700197253733450e+02
4.802189970235358984e+00,-4.431693411857111187e+00,1.306460613401843034e+02
4.905377176049229959e+00,-4.534360099471263617e+00,1.305221750916383598e+02
5.030822359361135199e+00,-4.659126714918970791e+00,1.303983952702539568e+02
5.079171073929311220e+00,-4.707343814849162200e+00,1.302745364504719134e+02
5.140455391832165155e+00,-4.768404669692849041e+00,1.301507366471095395e+02
5.250811325238304406e+00,-4.878188790857532098e+00,1.300271134365641785e+02
5.404196133342967556e+00,-5.030696236161886326e+00,1.299037022442126386e+02
5.472922590265796750e+00,-5.099146124202580843e+00,1.297800907840282036e+02
5.540656492272393763e+00,-5.166610432385647655e+00,1.296565173002107656e+02
5.603390222453275449e+00,-5.229110000041931272e+00,1.295329632660629784e+02
5.674855830623032560e+00,-5.300279379342433650e+00,1.294094878764609575e+02
5.760294801296176992e+00,-5.385322816729799733e+00,1.292861274991453513e+02
5.865882357727675966e+00,-5.490371652655889001e+00,1.291629314248140759e+02
5.943116147686035688e+00,-5.567267989460781052e+00,1.290396392543133288e+02
5.992778121046637985e+00,-5.616788276510291666e+00,1.289162242650670862e+02
6.034819358856159610e+00,-5.658741917289220602e+00,1.287927869710675282e+02
6.135000459033554954e+00,-5.758422328463501216e+00,1.286697753096702002e+02
6.233972160327680534e+00,-5.856901822428934423e+00,1.285468200199596538e+02
6.314913620542421668e+00,-5.937479084277692998e+00,1.284237904462386268e+02
6.368661054959630086e+00,-5.991055485048135232e+00,1.283005926760024238e+02
6.465013273643896774e+00,-6.086933824261062220e+00,1.281777846423055109e+02
6.542991381374370974e+00,-6.164568543199075989e+00,1.280548772565806246e+02
6.621514644170416908e+00,-6.242744459061024820e+00,1.279320235315601195e+02
6.664254883032628030e+00,-6.285391646214429251e+00,1.278088775037569604e+02
6.729044685076100762e+00,-6.349931595434855858e+00,1.276859725203289599e+02
6.796292499625254280e+00,-6.416912013931484360e+00,1.275631316633835155e+02
6.890411284408090253e+00,-6.510572258591724726e+00,1.274406176595799565e+02
6.970773050545329141e+00,-6.590573213651730988e+00,1.273180126287127223e+02
7.045966610577020894e+00,-6.665442633403739769e+00,1.271953990936678451e+02
7.093609509386951117e+00,-6.712957272692356092e+00,1.270725080154695945e+02
7.154031912335149457e+00,-6.773160466443556516e+00,1.269497981159618973e+02
7.181825081351516538e+00,-6.800966489245712232e+00,1.268267159067735008e+02
7.242781387927096581e+00,-6.861699687319349650e+00,1.267040719572416805e+02
7.286829725402441227e+00,-6.905645159177272951e+00,1.265812401220425158e+02
7.354940548015347801e+00,-6.973481850695274709e+00,1.264587591818230834e+02
7.395627768781476874e+00,-7.014090030061440828e+00,1.263359361478533174e+02
7.490592339928847210e+00,-7.108589225116355159e+00,1.262139128180517389e+02
7.579758757431952709e+00,-7.197331432103699633e+00,1.260918652866795213e+02
7.543669747196640962e+00,-7.161709731860282702e+00,1.259679846622255610e+02
7.646509183120845599e+00,-7.264027504281258985e+00,1.258462155682988026e+02
7.558710592996446209e+00,-7.177064411950942358e+00,1.257214968972328819e+02
8.045698679828444000e+00,-7.660795476588167396e+00,1.256060148495136559e+02
8.353308748533086359e+00,-7.966425252167596227e+00,1.254879166934967998e+02
9.209405840867683324e+00,-8.816845022862089820e+00,1.252565731180709037e+02
9.278640147378450109e+00,-8.885795681725570105e+00,1.251349995933501589e+02
9.156929183936796335e+00,-8.765161210514058610e+00,1.250100079127369952e+02
9.444354068167452709e+00,-9.050747991140049464e+00,1.248924824198397943e+02
9.642868039693320625e+00,-9.248266280039736387e+00,1.246508045628717838e+02
9.605697780956939269e+00,-9.211570211041504308e+00,1.245273865192693989e+02
9.657807490050684507e+00,-9.263517897624733877e+00,1.244057155045801579e+02
9.719478420494167992e+00,-9.324958609369209839e+00,1.242842682671493577e+02
1.007133295639686565e+01,-9.674723538594809824e+00,1.240463023947814207e+02
